"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","RUS.GGSB.A","OBS_VALUE","Russian Federation","Structural balance, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","-137.557","201.930","259.592","104.358","223.633","861.556","1813.490","2195.943","1625.776","1459.043","-1938.351","-1244.016","895.493","48.734","-1119.273","-104.359","-2588.529","-2794.831","-928.407","3060.720","2183.827","-4791.674","671.969","-1894.503","-4641.125","-4612.252","-6308.753"
"IMF.RES:WEO(9.0.0)","CHN.NID_NGDP.A","OBS_VALUE","China, People's Republic of","Gross capital formation, Percent of GDP","Annual","Units","34.901","32.985","31.843","31.795","34.258","38.953","37.607","37.184","38.934","36.991","33.919","35.422","39.264","43.459","40.323","39.119","37.766","35.736","35.041","34.318","33.727","35.620","36.146","39.498","41.744","40.039","39.608","40.131","42.086","45.045","46.505","46.555","45.769","45.736","45.198","42.635","42.167","42.666","43.427","42.634","42.271","42.708","42.377","41.130","40.607","38.813"
"IMF.RES:WEO(9.0.0)","RUS.PPPGDP.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","","","","","","","","","","","","","1621.277","1515.308","1351.113","1322.881","1298.858","1339.434","1282.445","1383.147","1556.696","1672.634","1779.247","1947.833","2143.132","2351.723","2622.193","2923.515","3136.188","2908.738","3076.938","3265.874","3460.550","3581.230","3670.432","3631.416","3673.023","3807.099","4205.230","4579.554","4651.430","5688.268","6005.355","6481.797","6931.295","7143.093"
"IMF.RES:WEO(9.0.0)","RUS.GGXCNL_NGDP.A","OBS_VALUE","Russian Federation","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","-7.424","-3.587","3.107","2.991","0.673","1.350","4.575","7.597","7.804","5.585","4.549","-5.889","-3.194","1.432","0.382","-1.162","-1.070","-3.386","-3.670","-1.469","2.923","1.930","-3.989","0.776","-1.343","-2.217","-1.603","-2.737"
"IMF.RES:WEO(9.0.0)","RUS.TX_RPCH.A","OBS_VALUE","Russian Federation","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","","","","","","","","","","","","","","-2.100","4.900","7.666","4.429","-2.357","13.005","-14.783","6.321","4.324","10.140","13.281","11.970","6.816","6.665","6.298","3.853","-4.504","8.611","-2.090","-0.061","4.885","-0.976","2.972","1.852","4.465","5.105","-3.347","-4.395","0.574","-8.388","-12.040","-1.909","2.713"
"IMF.RES:WEO(9.0.0)","RUS.BCA.A","OBS_VALUE","Russian Federation","Current account balance (credit less debit), US dollar","Annual","Billions","","","","","","","","","","","","","-1.200","2.600","8.942","7.438","10.103","-0.835","0.071","22.855","45.382","32.054","27.473","33.128","58.560","84.389","92.316","72.193","103.935","50.384","67.452","97.274","71.282","33.428","57.513","67.777","24.469","32.179","115.680","65.650","35.373","124.953","237.735","49.397","63.167","44.261"
"IMF.RES:WEO(9.0.0)","CHN.PPPEX.A","OBS_VALUE","China, People's Republic of","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","1.673","1.576","1.491","1.450","1.468","1.566","1.608","1.649","1.786","1.871","1.909","1.953","2.062","2.318","2.733","3.044","3.187","3.183","3.116","3.032","3.026","3.025","3.001","3.021","3.146","3.184","3.209","3.372","3.551","3.526","3.703","3.929","3.979","4.014","3.981","3.948","3.957","4.040","4.094","4.060","4.015","3.987","3.796","3.645","3.531","3.409"
"IMF.RES:WEO(9.0.0)","CHN.PCPIE.A","OBS_VALUE","China, People's Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","","","","","19.307","21.469","22.886","24.923","31.876","33.980","35.441","37.036","40.295","48.290","60.564","66.762","71.325","71.600","70.818","69.945","71.002","70.760","70.438","72.696","74.529","75.783","77.928","82.966","83.905","85.409","89.267","92.962","95.326","97.689","99.122","100.776","102.736","104.611","106.618","111.331","111.566","113.272","115.344","115.083","115.130","115.752"
"IMF.RES:WEO(9.0.0)","CHN.GGXWDG.A","OBS_VALUE","China, People's Republic of","Gross debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","1319.843","1532.806","1636.363","1752.154","1969.745","2294.050","2712.752","3144.247","3675.576","4258.695","4937.582","5614.652","7888.937","8638.332","12017.235","13858.254","16349.149","18539.233","22085.788","25842.256","28716.688","37820.609","45551.843","51885.826","59841.085","71951.754","82289.898","93064.922","106147.935","119161.047","134611.141"
"IMF.RES:WEO(9.0.0)","RUS.NID_NGDP.A","OBS_VALUE","Russian Federation","Gross capital formation, Percent of GDP","Annual","Units","","","","","","","","","","","","","-10.180","-7.957","14.281","19.452","18.961","17.808","11.602","12.456","16.412","19.553","17.891","18.750","18.884","18.196","19.255","22.047","23.308","17.220","20.658","24.261","24.554","23.272","22.391","22.149","23.095","23.607","21.918","22.662","23.456","23.009","23.203","27.008","26.299","26.727"
"IMF.RES:WEO(9.0.0)","CHN.GGXONLB.A","OBS_VALUE","China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","-12.962","-9.236","-15.156","-19.045","-22.155","-65.123","-26.852","-13.756","0.945","-19.323","-149.697","-210.937","-206.657","-281.996","-231.983","-168.039","-181.498","-153.614","121.233","122.629","-459.541","36.554","190.918","100.938","-193.016","-82.938","-1405.501","-2022.806","-2194.112","-3182.440","-5200.931","-8985.916","-5878.558","-7892.039","-7498.680","-8619.700","-10264.211"
"IMF.RES:WEO(9.0.0)","CHN.NGDPD.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","303.550","289.215","285.139","306.013","314.832","310.709","301.471","328.305","409.363","458.985","397.359","415.946","495.515","621.918","566.297","737.654","868.770","967.886","1035.510","1101.134","1220.337","1351.372","1486.618","1680.942","1978.937","2325.515","2797.286","3612.210","4653.314","5176.180","6138.992","7624.861","8682.939","9782.784","10701.415","11307.226","11448.003","12503.299","14110.963","14572.410","15103.357","18190.803","18307.816","18270.351","18749.759","19398.577"
"IMF.RES:WEO(9.0.0)","CHN.NGSD_NGDP.A","OBS_VALUE","China, People's Republic of","Gross national savings, Percent of GDP","Annual","Units","32.572","31.987","35.026","35.080","35.052","34.187","35.470","36.607","36.483","35.705","38.518","38.723","38.203","41.948","43.028","41.563","40.684","39.555","38.080","36.236","35.402","36.908","38.529","42.059","45.228","45.731","47.896","49.908","51.124","49.744","50.379","48.339","48.249","47.251","47.404","45.227","43.839","44.175","43.598","43.340","43.919","44.648","44.798","42.571","42.868","42.117"
"IMF.RES:WEO(9.0.0)","CHN.NGDPRPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","2688.434","2786.947","2990.497","3269.916","3718.249","4160.690","4461.198","4901.413","5365.640","5507.755","5640.382","6135.919","6931.282","7807.508","8732.250","9592.483","10439.386","11298.025","12083.466","12914.699","13915.933","14969.254","16243.445","17780.359","19464.249","21562.945","24165.893","27444.055","29936.678","32605.103","35884.554","39035.820","41787.627","44769.971","47802.186","50905.650","54001.093","57401.127","61049.549","64537.593","65950.154","71568.329","73840.025","77925.079","81904.265","86027.645"
